kind,fast,slow,median_sharpe,mean_sharpe,pct_positive
SMA,10,40,0.517849696734809,0.4461078728606413,0.9375
SMA,10,50,0.5163478568940065,0.4633669852218977,0.9375
SMA,10,55,0.5339982960388592,0.4702093673292411,0.9375
SMA,10,70,0.5517620534320289,0.46630993597603493,0.875
SMA,10,100,0.5013108873588079,0.4261621751355397,0.875
SMA,10,150,0.5213502999553263,0.4218180831974008,0.875
SMA,15,40,0.5186630349197634,0.42124360311541414,0.9375
SMA,15,50,0.533556281882799,0.45997700055219604,0.9375
SMA,15,55,0.4940587302188749,0.4591108747351742,0.9375
SMA,15,70,0.5430853098155093,0.4544912379157354,0.875
SMA,15,100,0.5188810680471763,0.455392078231493,0.875
SMA,15,150,0.5017572888236916,0.4070642326272854,0.875
SMA,20,40,0.47633103595353277,0.422150807331846,0.875
SMA,20,50,0.5110746641853451,0.45966172310772174,0.875
SMA,20,55,0.527456302742964,0.45779617303023856,0.875
SMA,20,70,0.5350744909662921,0.4633163093265915,0.875
SMA,20,100,0.5229569055273883,0.44274114459935976,0.875
SMA,20,150,0.5053441271253223,0.4142056106285399,0.875
SMA,22,40,0.5023894121584283,0.42710600555244904,0.875
SMA,22,50,0.5240462353298517,0.44998057112509665,0.875
SMA,22,55,0.5359135573336531,0.4622333313899554,0.875
SMA,22,70,0.5510997296055392,0.4588570176663963,0.875
SMA,22,100,0.5263315214391733,0.4550287709551132,0.875
SMA,22,150,0.5089724668368834,0.39882379888521363,0.875
SMA,30,40,0.5134145377800843,0.4107718338651974,0.875
SMA,30,50,0.5122344901177815,0.4352768119669882,0.875
SMA,30,55,0.5556881653279955,0.4702611553063094,0.875
SMA,30,70,0.522430631947999,0.4633216541594999,0.875
SMA,30,100,0.5509116326093739,0.46051572291547316,0.875
SMA,30,150,0.49135593380950493,0.3911844131436267,0.875
SMA,40,50,0.5612501705962597,0.47167467487939113,0.875
SMA,40,55,0.550169686094881,0.46070305929066235,0.875
SMA,40,70,0.5332635151170089,0.46668881675181867,0.875
SMA,40,100,0.519815192369889,0.42779972700939944,0.875
SMA,40,150,0.5025172427674366,0.3937944657965917,0.875
SMA,50,55,0.5191195934137146,0.4324606471494685,0.875
SMA,50,70,0.4959327906743791,0.42354550888386666,0.8125
SMA,50,100,0.5433420110621239,0.4172723950872998,0.875
SMA,50,150,0.5004483726534881,0.3873890600506401,0.875
EMA,10,40,0.5085070826196315,0.47081290315532487,0.9375
EMA,10,50,0.5228896926595804,0.45194051373231947,0.9375
EMA,10,55,0.5187793192740714,0.4381334659132704,0.9375
EMA,10,70,0.4952077478032092,0.42555891211461516,0.875
EMA,10,100,0.4685725803737913,0.4086306186107878,0.875
EMA,10,150,0.5005197723038665,0.41161138372035455,0.875
EMA,15,40,0.5211912605647668,0.45902267407490926,0.9375
EMA,15,50,0.5270419388789476,0.4374385151529062,0.875
EMA,15,55,0.50743035811468,0.43995955404282716,0.875
EMA,15,70,0.5014924266257055,0.41570600184653456,0.875
EMA,15,100,0.513967188833301,0.41247514762423615,0.875
EMA,15,150,0.5203587575899862,0.4193677440408239,0.875
EMA,20,40,0.5195086920834434,0.45049265010442396,0.875
EMA,20,50,0.510289705172559,0.43813088189167304,0.875
EMA,20,55,0.507901997400096,0.4309839908212312,0.875
EMA,20,70,0.5087897007699045,0.43083586535919477,0.875
EMA,20,100,0.5123435486980503,0.415343227632743,0.8125
EMA,20,150,0.5259856289443553,0.4104816772051014,0.875
EMA,22,40,0.5205525788900149,0.4375921984323045,0.875
EMA,22,50,0.5122702506237808,0.4381833674555593,0.875
EMA,22,55,0.48282335928845566,0.42682701581025456,0.875
EMA,22,70,0.522831137693182,0.4354881269161063,0.875
EMA,22,100,0.5253237461249061,0.4186456862924181,0.875
EMA,22,150,0.526923124681083,0.41399717566142147,0.875
EMA,30,40,0.5094430649225146,0.4390504942897305,0.875
EMA,30,50,0.5082165706768241,0.4431169768432115,0.875
EMA,30,55,0.5181314866505307,0.4409400881041867,0.875
EMA,30,70,0.5140405592533975,0.4227884482326586,0.875
EMA,30,100,0.5316829951930855,0.41659394125324317,0.875
EMA,30,150,0.517515042044029,0.4074611287107775,0.875
EMA,40,50,0.5171961780460812,0.43078792456280135,0.875
EMA,40,55,0.5276549981395366,0.43415159829908956,0.875
EMA,40,70,0.5270412802279797,0.4205550148656052,0.8125
EMA,40,100,0.4922518569275455,0.4010962099290205,0.875
EMA,40,150,0.5092808318007938,0.3911827397765447,0.875
EMA,50,55,0.5184167302037372,0.4298777369265485,0.875
EMA,50,70,0.526411842519071,0.41866535410158645,0.875
EMA,50,100,0.5010735306561424,0.4088127759585644,0.875
EMA,50,150,0.5064278572174274,0.4040772881075795,0.875
WMA,10,40,0.47245302425585756,0.45338528249069304,0.9375
WMA,10,50,0.5174498841985069,0.4580624159286718,0.9375
WMA,10,55,0.5115730340672202,0.46796493447906873,0.9375
WMA,10,70,0.4981931675506329,0.4678561499969604,0.9375
WMA,10,100,0.5145719716039429,0.4375086569138056,0.9375
WMA,10,150,0.44011736064140583,0.40725456384897846,0.875
WMA,15,40,0.48774651365933597,0.4438221963158946,0.9375
WMA,15,50,0.5055329318245662,0.4539219000299119,0.9375
WMA,15,55,0.5354765479000796,0.4747739553603477,0.9375
WMA,15,70,0.5078684666864821,0.45581681122560447,0.9375
WMA,15,100,0.5316762824845791,0.44375889654370265,0.875
WMA,15,150,0.4861943485688575,0.4223665873601421,0.875
WMA,20,40,0.4616968561256296,0.4340796917909905,0.9375
WMA,20,50,0.5087990157532536,0.4395816564808482,0.9375
WMA,20,55,0.49890171092123964,0.43790151898961593,0.9375
WMA,20,70,0.5413098711868775,0.4584260053070745,0.9375
WMA,20,100,0.5311933217600655,0.4570622368204603,0.875
WMA,20,150,0.5222262671916502,0.43516227633103644,0.875
WMA,22,40,0.5106932064540619,0.4422291838497927,0.9375
WMA,22,50,0.5035184415525565,0.42255382241196,0.9375
WMA,22,55,0.5370803586760696,0.43999458265899927,0.9375
WMA,22,70,0.5438965098877515,0.4645052945915644,0.9375
WMA,22,100,0.531074584850262,0.45527367066252666,0.875
WMA,22,150,0.5151158920443538,0.43571680102319765,0.875
WMA,30,40,0.5445830673012632,0.4173709817735378,0.9375
WMA,30,50,0.5372609934295223,0.453091354211759,0.9375
WMA,30,55,0.5316396588553036,0.46942635527597204,0.9375
WMA,30,70,0.5457141314001307,0.46292340785378516,0.9375
WMA,30,100,0.5716326988352953,0.46299864326819395,0.875
WMA,30,150,0.5196459182832561,0.443607051786766,0.875
WMA,40,50,0.49848727535203974,0.445761400549955,0.9375
WMA,40,55,0.5265931423712389,0.4537984514628797,0.9375
WMA,40,70,0.5545512770236962,0.46312434877256997,0.875
WMA,40,100,0.5115955726752047,0.4572163268150031,0.875
WMA,40,150,0.5127296469643059,0.4290715750781786,0.875
WMA,50,55,0.5491946414801356,0.45205225683328637,0.875
WMA,50,70,0.5766972543064042,0.47002438197482144,0.875
WMA,50,100,0.5190118337280145,0.4553862476009141,0.875
WMA,50,150,0.49713064175844734,0.4126574854369617,0.875
HMA,10,40,0.29071826767998904,0.314076776213855,0.9375
HMA,10,50,0.32606246658298665,0.32640126997824737,0.9375
